compl,accel,decel,result
5,5,4,83
5,5,5,86
5,5,5,87
1,1,1,22
1,1,1,23
1,1,2,22
1,1,2,23
1,1,3,23
1,1,3,24
1,1,4,32
1,1,4,33
1,1,5,46
1,1,5,47
1,2,1,22
1,2,1,23
1,2,2,27
1,2,2,28
1,2,3,27
1,2,3,28
1,2,4,30
1,2,4,31
1,2,5,41
1,2,5,42
1,3,1,29
1,3,1,30
1,3,2,30
1,3,2,31
1,3,3,33
1,3,3,34
1,3,4,43
1,3,4,44
1,3,5,44
1,3,5,45
1,4,1,23
1,4,1,24
1,4,2,34
1,4,2,35
1,4,3,36
1,4,3,37
1,4,4,42
1,4,4,43
1,4,5,53
1,4,5,54
1,5,1,22
1,5,1,23
1,5,2,31
1,5,2,32
1,5,3,40
1,5,3,41
1,5,4,43
1,5,4,44
1,5,5,51
1,5,5,52
2,1,1,23
2,1,1,24
2,1,2,46
2,1,2,47
2,1,3,40
2,1,3,41
2,1,4,38
2,1,4,39
2,1,5,47
2,1,5,48
2,2,1,37
2,2,1,38
2,2,2,48
2,2,2,49
2,2,3,48
2,2,3,49
2,2,4,43
2,2,4,44
2,2,5,43
2,2,5,44
2,3,1,30
2,3,1,31
2,3,2,46
2,3,2,47
2,3,3,48
2,3,3,49
2,3,4,49
2,3,4,50
2,3,5,52
2,3,5,53
2,4,1,30
2,4,1,31
2,4,2,36
2,4,2,37
2,4,3,45
2,4,3,46
2,4,4,50
2,4,4,51
2,4,5,55
2,4,5,56
2,5,1,30
2,5,1,31
2,5,2,37
2,5,2,38
2,5,3,40
2,5,3,41
2,5,4,46
2,5,4,47
2,5,5,57
2,5,5,58
3,1,1,41
3,1,1,42
3,1,2,46
3,1,2,47
3,1,3,58
3,1,3,59
3,1,4,57
3,1,4,58
3,1,5,59
3,1,5,60
3,2,1,41
3,2,1,42
3,2,2,52
3,2,2,53
3,2,3,63
3,2,3,64
3,2,4,69
3,2,4,70
3,2,5,69
3,2,5,70
3,3,1,51
3,3,1,52
3,3,2,55
3,3,2,56
3,3,3,64
3,3,3,65
3,3,4,70
3,3,4,71
3,3,5,73
3,3,5,74
3,4,1,44
3,4,1,45
3,4,2,58
3,4,2,59
3,4,3,69
3,4,3,70
3,4,4,72
3,4,4,73
3,4,5,71
3,4,5,72
3,5,1,41
3,5,1,42
3,5,2,49
3,5,2,50
3,5,3,70
3,5,3,71
3,5,4,73
3,5,4,74
3,5,5,71
3,5,5,72
4,1,1,62
4,1,1,63
4,1,2,64
4,1,2,65
4,1,3,66
4,1,3,67
4,1,4,70
4,1,4,71
4,1,5,71
4,1,5,72
4,2,1,59
4,2,1,60
4,2,2,63
4,2,2,64
4,2,3,69
4,2,3,70
4,2,4,76
4,2,4,77
4,2,5,81
4,2,5,82
4,3,1,63
4,3,1,64
4,3,2,65
4,3,2,66
4,3,3,68
4,3,3,69
4,3,4,74
4,3,4,75
4,3,5,82
4,3,5,83
4,4,1,68
4,4,1,69
4,4,2,67
4,4,2,68
4,4,3,71
4,4,3,72
4,4,4,75
4,4,4,76
4,4,5,81
4,4,5,82
4,5,1,63
4,5,1,64
4,5,2,68
4,5,2,69
4,5,3,75
4,5,3,76
4,5,4,80
4,5,4,81
4,5,5,85
4,5,5,86
5,1,1,84
5,1,1,85
5,1,2,85
5,1,2,86
5,1,3,85
5,1,3,86
5,1,4,83
5,1,4,84
5,1,5,83
5,1,5,84
5,2,1,80
5,2,1,81
5,2,2,82
5,2,2,83
5,2,3,86
5,2,3,87
5,2,4,83
5,2,4,84
5,2,5,90
5,2,5,91
5,3,1,78
5,3,1,79
5,3,2,83
5,3,2,84
5,3,3,85
5,3,3,86
5,3,4,82
5,3,4,83
5,3,5,88
5,3,5,89
5,4,1,84
5,4,1,85
5,4,2,83
5,4,2,84
5,4,3,82
5,4,3,83
5,4,4,80
5,4,4,81
5,4,5,87
5,4,5,88
5,5,1,87
5,5,1,88
5,5,2,84
5,5,2,85
5,5,3,83
5,5,3,84
5,5,4,82
5,5,4,83
5,5,5,86
5,5,5,87
